cid,cname,age,gender
CUST_201,Amit Verma,45,Male
CUST_202,Meera Yadav,24,Female
CUST_203,Arjun Gupta,35,Male
CUST_204,Vikram Agarwal,33,Male
CUST_205,Vivaan Agarwal,44,Male
CUST_206,Ishita Sharma,25,Female
CUST_207,Vivaan Mehta,44,Male
CUST_208,Amit Gupta,22,Male
CUST_209,Meera Gupta,26,Female
CUST_210,Ishita Kapoor,42,Female
CUST_211,Rohan Jain,39,Male
CUST_212,Riya Kapoor,32,Female
CUST_213,Krishna Singh,20,Male
CUST_214,Ananya Yadav,35,Female
CUST_215,Vikram Singh,18,Male
CUST_216,Aarav Singh,20,Male
CUST_217,Arjun Verma,34,Male
CUST_218,Rohan Mehta,24,Male
CUST_219,Vikram Yadav,33,Male
CUST_220,Rahul Jain,24,Male
CUST_221,Vivaan Jain,29,Male
CUST_222,Pooja Mehta,45,Female
CUST_223,Vivaan Sharma,30,Male
CUST_224,Priya Singh,24,Female
CUST_225,Amit Mehta,22,Male
CUST_226,Sneha Tiwari,32,Female
CUST_227,Vivaan Mehta,43,Male
CUST_228,Aarav Kapoor,44,Male
CUST_229,Vivaan Singh,23,Male
CUST_230,Riya Mehta,24,Female
CUST_231,Ananya Gupta,30,Female
CUST_232,Karan Tiwari,43,Male
CUST_233,Kavya Jain,40,Female
CUST_234,Sneha Singh,27,Female
CUST_235,Aarav Yadav,41,Male
CUST_236,Arjun Sharma,19,Male
CUST_237,Meera Kapoor,23,Female
CUST_238,Amit Verma,45,Male
CUST_239,Vivaan Yadav,20,Male
CUST_240,Karan Verma,36,Male
CUST_241,Vikram Yadav,19,Male
CUST_242,Karan Yadav,36,Male
CUST_243,Kavya Singh,39,Female
CUST_244,Ishita Tiwari,30,Female
CUST_245,Rohan Mehta,28,Male
CUST_246,Aarav Mehta,37,Male
CUST_247,Vivaan Kapoor,24,Male
CUST_248,Sneha Agarwal,20,Female
CUST_249,Arjun Tiwari,23,Male
CUST_250,Meera Tiwari,37,Female
CUST_251,Amit Tiwari,39,Male
CUST_252,Aditya Tiwari,21,Male
CUST_253,Amit Gupta,26,Male
CUST_254,Diya Singh,40,Female
CUST_255,Ishita Tiwari,34,Female
CUST_256,Kavya Sharma,20,Female
CUST_257,Kavya Sharma,18,Female
CUST_258,Sneha Tiwari,23,Female
CUST_259,Meera Jain,35,Female
CUST_260,Vivaan Verma,40,Male
CUST_261,Amit Sharma,44,Male
CUST_262,Diya Kapoor,22,Female
CUST_263,Sneha Sharma,27,Female
CUST_264,Ananya Agarwal,24,Female
CUST_265,Vivaan Agarwal,42,Male
CUST_266,Diya Gupta,25,Female
CUST_267,Aditya Jain,18,Male
CUST_268,Arjun Jain,43,Male
CUST_269,Rohan Gupta,43,Male
CUST_270,Karan Sharma,45,Male
CUST_271,Ishita Singh,44,Female
CUST_272,Neha Tiwari,44,Female
CUST_273,Krishna Sharma,39,Male
CUST_274,Karan Agarwal,26,Male
CUST_275,Rohan Agarwal,38,Male
CUST_276,Meera Agarwal,18,Female
CUST_277,Rohan Gupta,36,Male
CUST_278,Ananya Verma,37,Female
CUST_279,Neha Agarwal,31,Female
CUST_280,Karan Yadav,24,Male
CUST_281,Ananya Jain,18,Female
CUST_282,Arjun Jain,20,Male
CUST_283,Diya Agarwal,39,Female
CUST_284,Rohan Kapoor,27,Male
CUST_285,Neha Jain,40,Female
CUST_286,Meera Gupta,24,Female
CUST_287,Pooja Gupta,37,Female
CUST_288,Pooja Kapoor,44,Female
CUST_289,Rohan Tiwari,24,Male
CUST_290,Diya Yadav,38,Female
